,Unnamed: 0,result,type,time,spell,rune,kill,death,assist,ward,Unnamed: 0,win_mid,win_mid_kda,win_killratio,win_mid_dmg,win_mid_cs,lose_mid,lose_mid_kda,lose_killratio,lose_mid_dmg,lose_mid_cs,win_jg,lose_jg
0,0,Defeat,Ranked Solo,15m,Flash,Press the Attack,0,6,4,1,0.0,Nocturne,2.33,30.0,"7,102",/m,Warwick,1.25,56.0,"6,423",/m,Elise,Lee Sin
1,1,Defeat,Ranked Solo,35m,Flash,Phase Rush,5,8,6,3,1.0,Zed,2.33,39.0,"16,564",/m,Syndra,1.38,52.0,"24,514",/m,Lillia,Udyr
2,2,Defeat,Ranked Solo,36m,Flash,Electrocute,12,6,11,2,2.0,Sylas,3.57,53.0,"27,836",,Zoe,3.83,72.0,"40,764",/m,Kindred,Hecarim
3,3,Victory,Ranked Solo,18m,Flash,Unsealed Spellbook,4,1,4,2,3.0,Zilean,8.00,36.0,"9,628",/m,Nocturne,1.00,45.0,"10,221",/m,Udyr,Lillia
4,4,Victory,Ranked Solo,20,Flash,Lethal Tempo,12,2,10,3,4.0,Zoe,20.00,56.0,"16,295",/m,Sylas,1.00,64.0,"12,718",/m,Nocturne,Udyr
5,5,Defeat,Ranked Solo,28m,Flash,Conqueror,3,13,10,1,5.0,Sylas,4.33,70.0,"36,441",/m,Yasuo,1.00,41.0,"12,652",/m,Olaf,Volibear
6,6,Victory,Ranked Solo,26m,Flash,Phase Rush,12,4,7,3,6.0,Viktor,4.75,51.0,"34,366",/m,Sylas,1.71,41.0,"12,713",,Hecarim,Udyr
7,7,Defeat,Ranked Solo,16m,Flash,Conqueror,2,8,2,3,7.0,Kassadin,3.33,38.0,"18,437",/m,Sylas,0.50,36.0,"10,222",/m,Hecarim,Udyr
8,8,Defeat,Ranked Solo,15m,Flash,Phase Rush,1,6,1,2,8.0,Sylas,Perfect,38.0,"9,458",/m,Viktor,0.33,50.0,"8,123",/m,Nocturne,Olaf
9,9,Defeat,Ranked Solo,20m,Flash,Phase Rush,1,4,4,4,9.0,Viktor,3.33,40.0,"14,400",/m,Ryze,1.25,29.0,"8,181",/m,Olaf,Nidalee
10,10,Victory,Ranked Solo,15m,Flash,Phase Rush,5,2,2,4,10.0,Viktor,3.50,25.0,"9,506",/m,Vayne,0.00,0.0,"8,519",/m,Lillia,Karthus
11,11,Defeat,Ranked Solo,22m,Flash,Conqueror,4,12,8,3,11.0,Talon,5.50,49.0,"22,859",/m,Sylas,1.00,60.0,"14,085",/m,Nidalee,Hecarim
